PHONE_NUMBER,ACTIVATION_DATE,DEACTIVATION_DATE
987000001,2016-03-01,2016-01-05
987000002,2016-03-02,2016-01-06
987000003,2016-03-03,2016-01-07
987000004,2016-03-04,2016-01-08
987000005,2016-03-05,2016-01-09
987000006,2016-03-06,2016-01-10
987000007,2016-03-07,
987000008,2016-03-08,2016-01-12
987000009,2016-03-09,2016-01-13
987000010,2016-03-10,2016-01-14
987000011,2016-03-11,2016-01-15
987000012,2016-03-12,2016-01-16
987000013,2016-03-13,2016-01-17
987000014,2016-03-14,2016-01-18
987000015,2016-03-15,2016-01-19
987000016,2016-03-16,2016-01-20
987000017,2016-03-17,2016-01-21
987000018,2016-03-18,2016-01-22
987000019,2016-03-19,2016-01-23
987000020,2016-03-20,2016-01-24
987000021,2016-03-21,2016-01-25
987000022,2016-03-22,2016-01-26
987000023,2016-03-23,2016-01-27
987000024,2016-03-24,2016-01-28
987000025,2016-03-25,2016-01-29
987000001,2016-03-26,2016-01-30
987000002,2016-03-27,2016-01-31
987000003,2016-03-28,2016-02-01
987000004,2016-03-29,2016-02-02
987000005,2016-03-30,2016-02-03
987000006,2016-03-31,2016-02-04
987000007,2016-04-01,2016-02-05
987000008,2016-04-02,2016-02-06
987000009,2016-04-03,2016-02-07
987000010,2016-04-04,2016-02-08
987000011,2016-04-05,2016-02-09
987000012,2016-04-06,2016-02-10
987000013,2016-04-07,2016-02-11
987000014,2016-04-08,2016-02-12
987000015,2016-04-09,2016-02-13
987000016,2016-04-10,2016-02-14
987000017,2016-04-11,2016-02-15
987000018,2016-04-12,2016-02-16
987000019,2016-04-13,2016-02-17
987000020,2016-04-14,2016-02-18
987000021,2016-04-15,2016-02-19
987000022,2016-04-16,2016-02-20
987000023,2016-04-17,2016-02-21
987000024,2016-04-18,2016-02-22
987000025,2016-04-19,2016-02-23
987000001,2016-04-20,2016-02-24
987000002,2016-04-21,2016-02-25
987000003,2016-04-22,2016-02-26
987000004,2016-04-23,2016-02-27
987000005,2016-04-24,2016-02-28
987000006,2016-04-25,2016-02-29
987000007,2016-04-26,2016-03-01
987000008,2016-04-27,2016-03-02
987000009,2016-04-28,2016-03-03
987000010,2016-04-29,2016-03-04
987000011,2016-04-30,2016-03-05
987000012,2016-05-01,2016-03-06
987000013,2016-05-02,2016-03-07
987000014,2016-05-03,2016-03-08
987000015,2016-05-04,2016-03-09
987000016,2016-05-05,2016-03-10
987000017,2016-05-06,2016-03-11
987000018,2016-05-07,2016-03-12
987000019,2016-05-08,2016-03-13
987000020,2016-05-09,2016-03-14
987000021,2016-05-10,2016-03-15
987000022,2016-05-11,2016-03-16
987000023,2016-05-12,2016-03-17
987000024,2016-05-13,2016-03-18
987000025,2016-05-14,2016-03-19
987000001,2016-05-15,2016-03-20
987000002,2016-05-16,2016-03-21
987000003,2016-05-17,2016-03-22
987000004,2016-05-18,2016-03-23
987000005,2016-05-19,2016-03-24
987000006,2016-05-20,2016-03-25
987000007,2016-05-21,2016-03-26
987000008,2016-05-22,2016-03-27
987000009,2016-05-23,2016-03-28
987000010,2016-05-24,2016-03-29
987000011,2016-05-25,2016-03-30
987000012,2016-05-26,2016-03-31
987000013,2016-05-27,2016-04-01
987000014,2016-05-28,2016-04-02
987000015,2016-05-29,2016-04-03
987000016,2016-05-30,2016-04-04
987000017,2016-05-31,2016-04-05
987000018,2016-06-01,2016-04-06
987000019,2016-06-02,2016-04-07
987000020,2016-06-03,2016-04-08
987000021,2016-06-04,2016-04-09
987000022,2016-06-05,2016-04-10
987000023,2016-06-06,2016-04-11
987000024,2016-06-07,2016-04-12
987000025,2016-06-08,2016-04-13
987000001,2016-06-09,2016-04-14
987000002,2016-06-10,2016-04-15
987000003,2016-06-11,2016-04-16
987000004,2016-06-12,2016-04-17
987000005,2016-06-13,2016-04-18
987000006,2016-06-14,2016-04-19
987000007,2016-06-15,2016-04-20
987000008,2016-06-16,2016-04-21
987000009,2016-06-17,2016-04-22
987000010,2016-06-18,2016-04-23
987000011,2016-06-19,2016-04-24
987000012,2016-06-20,2016-04-25
987000013,2016-06-21,2016-04-26
987000014,2016-06-22,2016-04-27
987000015,2016-06-23,2016-04-28
987000016,2016-06-24,2016-04-29
987000017,2016-06-25,2016-04-30
987000018,2016-06-26,2016-05-01
987000019,2016-06-27,2016-05-02
987000020,2016-06-28,2016-05-03
987000021,2016-06-29,2016-05-04
987000022,2016-06-30,2016-05-05
987000023,2016-07-01,2016-05-06
987000024,2016-07-02,2016-05-07
987000025,2016-07-03,2016-05-08
987000001,2016-07-04,2016-05-09
987000002,2016-07-05,2016-05-10
987000003,2016-07-06,2016-05-11
987000004,2016-07-07,2016-05-12
987000005,2016-07-08,2016-05-13
987000006,2016-07-09,2016-05-14
987000007,2016-07-10,2016-05-15
987000008,2016-07-11,2016-05-16
987000009,2016-07-12,2016-05-17
987000010,2016-07-13,2016-05-18
987000011,2016-07-14,2016-05-19
987000012,2016-07-15,2016-05-20
987000013,2016-07-16,2016-05-21
987000014,2016-07-17,2016-05-22
987000015,2016-07-18,2016-05-23
987000016,2016-07-19,2016-05-24
987000017,2016-07-20,2016-05-25
987000018,2016-07-21,2016-05-26
987000019,2016-07-22,2016-05-27
987000020,2016-07-23,2016-05-28
987000021,2016-07-24,2016-05-29
987000022,2016-07-25,2016-05-30
987000023,2016-07-26,2016-05-31
987000024,2016-07-27,2016-06-01
987000025,2016-07-28,2016-06-02
987000001,2016-07-29,2016-06-03
987000002,2016-07-30,2016-06-04
987000003,2016-07-31,2016-06-05
987000004,2016-08-01,2016-06-06
987000005,2016-08-02,2016-06-07
987000006,2016-08-03,2016-06-08
987000007,2016-08-04,2016-06-09
987000008,2016-08-05,2016-06-10
987000009,2016-08-06,2016-06-11
987000010,2016-08-07,2016-06-12
987000011,2016-08-08,2016-06-13
987000012,2016-08-09,2016-06-14
987000013,2016-08-10,2016-06-15
987000014,2016-08-11,2016-06-16
987000015,2016-08-12,2016-06-17
987000016,2016-08-13,2016-06-18
987000017,2016-08-14,2016-06-19
987000018,2016-08-15,2016-06-20
987000019,2016-08-16,2016-06-21
987000020,2016-08-17,2016-06-22
987000021,2016-08-18,2016-06-23
987000022,2016-08-19,2016-06-24
987000023,2016-08-20,2016-06-25
987000024,2016-08-21,2016-06-26
987000025,2016-08-22,2016-06-27
987000001,2016-08-23,2016-06-28
987000002,2016-08-24,2016-06-29
987000003,2016-08-25,2016-06-30
987000004,2016-08-26,2016-07-01
987000005,2016-08-27,2016-07-02
987000006,2016-08-28,2016-07-03
987000007,2016-08-29,2016-07-04
987000008,2016-08-30,2016-07-05
987000009,2016-08-31,2016-07-06
987000010,2016-09-01,2016-07-07
987000011,2016-09-02,2016-07-08
987000012,2016-09-03,2016-07-09
987000013,2016-09-04,2016-07-10
987000014,2016-09-05,2016-07-11
987000015,2016-09-06,2016-07-12
987000016,2016-09-07,2016-07-13
987000017,2016-09-08,2016-07-14
987000018,2016-09-09,2016-07-15
987000019,2016-09-10,2016-07-16
987000020,2016-09-11,2016-07-17
987000021,2016-09-12,2016-07-18
987000022,2016-09-13,2016-07-19
987000023,2016-09-14,2016-07-20
987000024,2016-09-15,2016-07-21
987000025,2016-09-16,2016-07-22
987000001,2016-09-17,2016-07-23
987000002,2016-09-18,2016-07-24
987000003,2016-09-19,2016-07-25
987000004,2016-09-20,2016-07-26
987000005,2016-09-21,2016-07-27
987000006,2016-09-22,2016-07-28
987000007,2016-09-23,2016-07-29
987000008,2016-09-24,2016-07-30
987000009,2016-09-25,2016-07-31
987000010,2016-09-26,2016-08-01
987000011,2016-09-27,2016-08-02
987000012,2016-09-28,2016-08-03
987000013,2016-09-29,2016-08-04
987000014,2016-09-30,2016-08-05
987000015,2016-10-01,2016-08-06
987000016,2016-10-02,2016-08-07
987000017,2016-10-03,2016-08-08
987000018,2016-10-04,2016-08-09
987000019,2016-10-05,2016-08-10
987000020,2016-10-06,2016-08-11
987000021,2016-10-07,2016-08-12
987000022,2016-10-08,2016-08-13
987000023,2016-10-09,2016-08-14
987000024,2016-10-10,2016-08-15
987000025,2016-10-11,2016-08-16
987000001,2016-10-12,2016-08-17
987000002,2016-10-13,2016-08-18
987000003,2016-10-14,2016-08-19
987000004,2016-10-15,2016-08-20
987000005,2016-10-16,2016-08-21
987000006,2016-10-17,2016-08-22
987000007,2016-10-18,2016-08-23
987000008,2016-10-19,2016-08-24
987000009,2016-10-20,2016-08-25
987000010,2016-10-21,2016-08-26
987000011,2016-10-22,2016-08-27
987000012,2016-10-23,2016-08-28
987000013,2016-10-24,2016-08-29
987000014,2016-10-25,2016-08-30
987000015,2016-10-26,2016-08-31
987000016,2016-10-27,2016-09-01
987000017,2016-10-28,2016-09-02
987000018,2016-10-29,2016-09-03
987000019,2016-10-30,2016-09-04
987000020,2016-10-31,2016-09-05
987000021,2016-11-01,2016-09-06
987000022,2016-11-02,2016-09-07
987000023,2016-11-03,2016-09-08
987000024,2016-11-04,2016-09-09
987000025,2016-11-05,2016-09-10
987000001,2016-11-06,2016-09-11
987000002,2016-11-07,2016-09-12
987000003,2016-11-08,2016-09-13
987000004,2016-11-09,2016-09-14
987000005,2016-11-10,2016-09-15
987000006,2016-11-11,
987000007,2016-11-12,2016-09-17
987000008,2016-11-13,2016-09-18
987000009,2016-11-14,2016-09-19
987000010,2016-11-15,2016-09-20
987000011,2016-11-16,2016-09-21
987000012,2016-11-17,2016-09-22
987000013,2016-11-18,2016-09-23
987000014,2016-11-19,2016-09-24
987000015,2016-11-20,2016-09-25
987000016,2016-11-21,2016-09-26
987000017,2016-11-22,2016-09-27
987000018,2016-11-23,2016-09-28
987000019,2016-11-24,
987000020,2016-11-25,2016-09-30
987000021,2016-11-26,2016-10-01
987000022,2016-11-27,2016-10-02
987000023,2016-11-28,2016-10-03
987000024,2016-11-29,2016-10-04
987000025,2016-11-30,2016-10-05
987000001,2016-12-01,
987000002,2016-12-02,2016-10-07
987000003,2016-12-03,2016-10-08
